                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2666,                 5.0415,                 4.1904,                0.00033,                0.19886,                0.00072,                0.00025,                 2.9553,                 4.6581,                 4.0379,             0.00017356,             0.00017356,             0.00017356
                      2,                 3.1103,                 4.6754,                 3.8221,                0.00335,                 0.3179,                0.00655,                0.00172,                 2.8509,                 4.4713,                 3.6151,             0.00034544,             0.00034544,             0.00034544
                      3,                 2.8308,                 4.5121,                 3.4578,                0.86995,                0.00903,                0.00891,                0.00271,                 2.6061,                 4.2413,                 3.4805,             0.00051385,             0.00051385,             0.00051385
                      4,                 2.6581,                 4.4241,                 3.2363,                 0.7533,                 0.0323,                0.01985,                0.00532,                 2.5222,                 4.5633,                 3.2271,             0.00051038,             0.00051038,             0.00051038
                      5,                 2.5239,                 4.2589,                 3.0522,                0.51718,                0.04197,                0.01614,                0.00502,                  2.472,                   4.08,                 3.0935,             0.00051038,             0.00051038,             0.00051038
                      6,                 2.4335,                 4.1787,                 2.9281,                0.61081,                0.01091,                 0.0199,                0.00628,                 2.4574,                  3.899,                 3.0405,             0.00050517,             0.00050517,             0.00050517
                      7,                 2.2782,                 4.0105,                 2.8016,                0.25517,                0.03774,                0.03131,                0.01075,                 2.3076,                 3.7864,                 2.9215,             0.00049996,             0.00049996,             0.00049996
                      8,                 2.2139,                 3.8381,                 2.7057,                0.22153,                0.07582,                0.03419,                0.01106,                 2.3016,                 3.8776,                 2.9273,             0.00049476,             0.00049476,             0.00049476
                      9,                 2.1684,                 3.7666,                 2.6405,                0.31809,                0.07362,                0.05066,                0.01917,                 2.2206,                 3.6017,                 2.8364,             0.00048955,             0.00048955,             0.00048955
                     10,                 2.1282,                 3.6991,                 2.6053,                0.25325,                0.13329,                0.07348,                0.02932,                 2.1619,                 3.6621,                 2.7701,             0.00048434,             0.00048434,             0.00048434
                     11,                 2.0802,                 3.5984,                 2.5501,                0.26879,                0.13612,                0.08156,                0.03096,                 2.1621,                 3.5097,                 2.7434,             0.00047913,             0.00047913,             0.00047913
                     12,                 2.0527,                 3.5309,                 2.5186,                0.19633,                 0.1458,                0.08063,                0.03135,                 2.1351,                 3.3824,                 2.6924,             0.00047393,             0.00047393,             0.00047393
                     13,                 2.0292,                 3.4957,                 2.4756,                0.40638,                0.13323,                0.10693,                0.04479,                 2.0552,                 3.2491,                 2.6384,             0.00046872,             0.00046872,             0.00046872
                     14,                 2.0152,                 3.4341,                 2.4654,                 0.2442,                0.17443,                0.10065,                0.03826,                 2.0935,                 3.3006,                 2.6445,             0.00046351,             0.00046351,             0.00046351
                     15,                 2.0033,                  3.396,                 2.4278,                0.24231,                 0.1879,                0.11637,                0.04867,                 2.0397,                 3.1758,                 2.5922,              0.0004583,              0.0004583,              0.0004583
                     16,                 1.9703,                 3.3692,                 2.3988,                0.28981,                0.20074,                 0.1329,                0.05327,                 2.0625,                 3.1271,                 2.5925,              0.0004531,              0.0004531,              0.0004531
                     17,                 1.9646,                 3.2517,                 2.3842,                0.28267,                 0.2372,                0.15843,                0.06742,                 1.9968,                  3.012,                 2.5466,             0.00044789,             0.00044789,             0.00044789
